C,threshold,consecutive,false_alerts,benign_hours,fah,detected,runs,detection,ttd,telemetry_fault_identification_rate
0.003,0.97,24,2,7.466666666666667,0.26785714285714285,24,120,0.2,122.49829261493869,1.0
0.003,0.97,26,2,7.466666666666667,0.26785714285714285,24,120,0.2,132.4982926149387,1.0
0.003,0.97,28,2,7.466666666666667,0.26785714285714285,24,120,0.2,142.4982926149387,1.0
0.003,0.97,30,2,7.466666666666667,0.26785714285714285,23,120,0.19166666666666668,152.4982749640476,1.0
0.003,0.97,32,1,7.466666666666667,0.13392857142857142,23,120,0.19166666666666668,162.4982749640476,1.0
0.003,0.97,36,1,7.466666666666667,0.13392857142857142,20,120,0.16666666666666666,182.49809394660406,1.0
0.003,0.97,38,1,7.466666666666667,0.13392857142857142,20,120,0.16666666666666666,192.49818692461122,1.0
0.003,0.97,40,1,7.466666666666667,0.13392857142857142,19,120,0.15833333333333333,202.49809888517484,1.0
0.003,0.97,42,1,7.466666666666667,0.13392857142857142,19,120,0.15833333333333333,212.49809888517484,1.0
0.003,0.97,44,1,7.466666666666667,0.13392857142857142,19,120,0.15833333333333333,222.49809888517484,1.0
0.003,0.97,48,1,7.466666666666667,0.13392857142857142,18,120,0.15,242.49808553012554,1.0
0.003,0.97,52,1,7.466666666666667,0.13392857142857142,18,120,0.15,262.49808553012554,1.0
0.003,0.97,56,1,7.466666666666667,0.13392857142857142,18,120,0.15,282.49808553012554,1.0
0.003,0.97,60,1,7.466666666666667,0.13392857142857142,17,120,0.14166666666666666,302.49807217507623,1.0
0.003,0.98,1,39,7.466666666666667,5.223214285714286,68,120,0.5666666666666667,42.492269452952314,1.0
0.003,0.98,2,21,7.466666666666667,2.8125,59,120,0.49166666666666664,67.49704290600494,1.0
0.003,0.98,3,13,7.466666666666667,1.7410714285714286,48,120,0.4,72.4977968725143,1.0
0.003,0.98,4,10,7.466666666666667,1.3392857142857142,44,120,0.36666666666666664,64.99699640204199,1.0
0.003,0.98,5,8,7.466666666666667,1.0714285714285714,39,120,0.325,52.498203119961545,1.0
0.003,0.98,6,6,7.466666666666667,0.8035714285714286,37,120,0.30833333333333335,52.49820415396243,1.0
0.003,0.98,8,5,7.466666666666667,0.6696428571428571,32,120,0.26666666666666666,49.998276980011724,1.0
0.003,0.98,10,5,7.466666666666667,0.6696428571428571,28,120,0.23333333333333334,57.49808824935462,1.0
0.003,0.98,12,5,7.466666666666667,0.6696428571428571,25,120,0.20833333333333334,62.49831026582979,1.0
0.003,0.98,16,4,7.466666666666667,0.5357142857142857,22,120,0.18333333333333332,82.49819904344622,1.0
0.003,0.98,20,3,7.466666666666667,0.4017857142857143,21,120,0.175,102.49812312284485,1.0
0.003,0.98,22,3,7.466666666666667,0.4017857142857143,20,120,0.16666666666666666,112.49811100400984,1.0
0.003,0.98,24,3,7.466666666666667,0.4017857142857143,20,120,0.16666666666666666,122.49811100400984,1.0
